메뉴 코드,메뉴명,카테고리,기본 판매가,기본 용량,알레르기 정보,설명,제작 시간
cof-001,아메리카노,커피,2500,L (710ml),NULL,"메가MGC커피 블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.",1
cof-002,꿀아메리카노,커피,3000,L (710ml),NULL,아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.,1
cof-003,헤이즐넛아메리카노,커피,3500,L (710ml),견과류(헤이즐넛),아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게 즐기는 커피.,1
cof-004,바닐라아메리카노,커피,3500,L (710ml),NULL,아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.,1
cof-005,메가리카노,커피,3700,XL (960ml),NULL,깊고 진한 메가MGC커피 아메리카노를 960ml 더 큼직하게 즐길 수 있는 대용량 커피.,1
lat-001,카페라떼,라떼,3500,L (710ml),우유,진한 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.,1
lat-002,말차라떼,라떼,4200,L (710ml),우유,진한 말차 파우더와 부드러운 우유가 만나 깊고 고소한 풍미를 자아내는 라떼.,1
lat-003,바닐라라떼,라떼,4200,L (710ml),우유,바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.,1
lat-004,헤이즐넛라떼,라떼,4200,L (710ml),"우유, 견과류(헤이즐넛)",부드러운 카페라떼에 헤이즐넛의 풍부한 향과 달콤함을 담아 향긋하게 즐길 수 있는 라떼.,1
lat-005,연유라떼,라떼,3800,L (710ml),우유,달콤한 연유와 에스프레소가 어우러진 부드럽고 달콤한 라떼.,1
SMD-001,커피 스무디,스무디/프라페,2900,591ml,"우유,대두",믹스커피 맛이 나는 시원한 스무디,1
SMD-002,귤 톡톡 젤리 스무디,스무디/프라페,3900,591ml,(정보없음),상큼한 감귤과 워터젤리의 조화,1
SMD-003,코코넛커피 스무디,스무디/프라페,4800,591ml,우유,진한 코코넛과 에스프레소의 만남,1
SMD-004,골드망고 스무디,스무디/프라페,3900,591ml,(없음),진한 골드망고의 풍미,1
SMD-005,블루베리 요거트 스무디,스무디/프라페,4800,591ml,"우유,대두",상큼한 블루베리와 요거트,1
ade-001,청포도에이드,에이드,3500,710mL,null,산뜻한 청포도와 상쾌한 탄산의 달달한 조화가 인상적인 에이드.,1
ade-002,레몬에이드,에이드,3500,710mL,null,시트러스향 가득한 레몬의 상큼함과 톡쏘는 탄산의 상쾌함이 만난 청량 에이드.,1
ade-003,체리콕,에이드,3300,710mL,null,체리의 새콤함과 청량감을 동시에 즐길 수 있는 환상적인 에이드.,11
ade-004,라임모히또,에이드,3800,710mL,null,상큼한 라임과 달콤한 향기의 애플민트가 어우러져 상쾌함을 한잔에 가득 채운 무알콜 모히또 음료.,1
ade-005,자몽에이드,에이드,3500,710mL,null,자몽의 달콤쌉싸름한 맛과 탄산의 톡쏘는 목넘김이 어우러진 트로피컬 에이드.,1
T-001,복숭아아이스티,티,3800,710mL,"복숭아, 아황산류",깊은 맛의 홍차와 달콤한 복숭아의 은은한 향이 어우러진 시원한 여름철 인기 음료.,1
T-002,얼그레이(hot),티,2500,591mL,-,홍차 특유의 풍부한 플레이버를 만끽할 수 있는 허브티.,1
T-003,자몽차(ice),티,3300,710mL,-,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.,1
T-004,레몬차(ice),티,3300,710mL,-,상큼한 레몬의 맛과 향을 오롯이 살린 비타민C 가득한 과일티.,1
T-005,유자차(hot),티,3300,591mL,-,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.,11
